ID,URL,Name,Code,Legal form,Status,Registration Date,Capital,Address,Deletion Date,Tempo richiesta,Tempo estrazione Name,Tempo estrazione Code,Tempo estrazione Legal Form,Tempo estrazione Status,Tempo estrazione Reg. Date,Tempo estrazione Capital,Tempo estrazione Address,Tempo estrazione Del. Date,Tempo estrazione dati Rapp.,Tempo estrazione Partners,Tempo estrazione Activity
18,https://ariregister.rik.ee/eng/company/14568307/Aerospace-Quality-OÜ?search_id=16a1817&pos=18,AerospaceQualityOÜ(14568307),14568307,Private limited company,Enteredintotheregister,17.09.2018,Capitalis2 500 €,                        Harju maakond Tallinn Kesklinna linnaosa F. R. Faehlmanni tn 5 10125                            ,,282970100,1000900,0,1000000,0,0,1000700,0,0,1005600,0,1005100
19,https://ariregister.rik.ee/eng/company/12366410/Aespa-angaar-OÜ?search_id=16a1817&pos=19,AespaangaarOÜ(12366410),12366410,Private limited company,Enteredintotheregister,22.10.2012,Capitalis2 500 €,                        Rapla maakond Kohila vald Aespa alevik Aespa ringtee 3 79732                            ,,222890500,959300,0,999900,1001000,0,0,0,0,1028100,0,998700
20,https://ariregister.rik.ee/eng/company/11373307/Osaühing-Aespa-Ehitus?search_id=16a1817&pos=20,OsaühingAespaEhitus(11373307),11373307,Private limited company,Enteredintotheregister,18.04.2007,Capitalis40 000 EEK,                        Rapla maakond Kohila vald Aespa alevik Looduse tn 9 79701                            ,,282544700,0,1001800,0,0,1000800,0,999900,999300,0,999600,0
21,https://ariregister.rik.ee/eng/company/14855410/Aespa-Invest-OÜ?search_id=16a1817&pos=21,AespaInvestOÜ(14855410),14855410,Private limited company,Enteredintotheregister,25.11.2019,Capitalis2 500 €,                        Rapla maakond Kohila vald Aespa alevik Karmeni tn 5 79705                            ,,362476000,1000000,0,0,0,0,999500,0,1000700,1000800,1000400,0
22,https://ariregister.rik.ee/eng/company/12260290/OÜ-AESPA-JUUKSUR?search_id=16a1817&pos=22,,,,,,,,,84577100,0,0,0,0,0,0,0,0,0,0,0
23,https://ariregister.rik.ee/eng/company/80329470/Mittetulundusühing-Aespa-Kodu?search_id=16a1817&pos=23,,,,,,,,,103662400,0,0,0,0,998400,0,0,0,0,0,0
24,https://ariregister.rik.ee/eng/company/11079513/OÜ-Aespa-L?search_id=16a1817&pos=24,,,,,,,,,62352100,0,0,0,0,0,0,0,0,0,0,0
25,https://ariregister.rik.ee/eng/company/16126714/Aespan-OÜ?search_id=16a1817&pos=25,,,,,,,,,79024500,0,0,0,0,0,0,0,0,1000100,0,0
26,https://ariregister.rik.ee/eng/company/11468211/Osaühing-A-Floors?search_id=16a1817&pos=26,,,,,,,,,62689000,0,0,0,0,0,0,0,0,0,0,0
27,https://ariregister.rik.ee/eng/company/11459782/Agnesium-OÜ?search_id=16a1817&pos=27,,,,,,,,,65046600,0,0,0,0,0,0,0,0,0,0,997000
