Company ID,Category,Hash
1258,Entertainment,6852268802481802111
1260,Education,-2647921079241484351
1260,Internet,-848597773130649638
1260,Tech,5392941245537608590
1262,Hotels,-4147010109171616253
1262,Entertainment,6852268802481802111
1262,Travel,458727220244788973
1263,Aerospace,-4642465698626703435
1264,Biotech,-6437318974046106094
1264,Medicaldevices,-2500090628927350323
1265,Clothing,-4012403625881737752
1265,Retail,2932210656109287952
1266,Construction,6530315917355802760
1269,Food,4721068128442604370
1270,Clothing,-4012403625881737752
1270,Retail,2932210656109287952
1270,Internet,-848597773130649638
1270,ECommerce,5458971525214020641
1270,Tech,5392941245537608590
1273,Tech,5392941245537608590
1273,Software,6273975210915946900
1273,Construction,6530315917355802760
1276,Banks,-3731527361154377479
1276,Financialservices,3247786743286756867
1276,Investment,-3683647381629899485
1278,OnlineTravel,-6625258044840405860
1278,Internet,-848597773130649638
1280,OilGas,7683904390150838630
1280,Energy,-2882595272621617431
1281,Aerospace,-4642465698626703435
1282,Food,4721068128442604370
1282,Agriculture,-4833034140269920163
1283,Furniture,1511125769664533416
1283,Retail,2932210656109287952
1284,Realestate,5170806780538916196
1284,Investment,-3683647381629899485
1285,Banks,-3731527361154377479
1285,Financialservices,3247786743286756867
1288,Realestate,5170806780538916196
1288,Internet,-848597773130649638
1290,Engineering,-4107645347768548595
1290,Professionalservices,8712968451453521438
1291,Entertainment,6852268802481802111
1293,Energy,-2882595272621617431
1293,OilGas,7683904390150838630
1294,Food,4721068128442604370
1295,Retail,2932210656109287952
1295,Clothing,-4012403625881737752
1296,Financialservices,3247786743286756867
1296,AssetManagement,3395336196960591160
1296,Insurance,-2611088800210967206
1298,Electronics,-4280093456798597290
1298,Tech,5392941245537608590
1298,TechHardware,-5791872359498690370
1298,Semiconductors,590283686970277566
1299,Professionalservices,8712968451453521438
1299,StaffingEmploymentServices,-7635784744819376551
1300,Software,6273975210915946900
1300,Tech,5392941245537608590
1303,ECommerce,5458971525214020641
1303,Internet,-848597773130649638
1303,Tech,5392941245537608590
1304,Banks,-3731527361154377479
1304,Financialservices,3247786743286756867
1305,Food,4721068128442604370
1306,Medicaldevices,-2500090628927350323
1312,Pharmaceuticals,5380718181721596073
1312,Biotech,-6437318974046106094
1313,DiagnosticsandTesting,8004627630865990902
1313,Genomics,3498623662508482428
1314,Tech,5392941245537608590
1314,Software,6273975210915946900
1316,3DPrinting,268182807649512788
1316,Tech,5392941245537608590
1317,Healthcare,1473658128705581606
1318,Gambling,-2553870588303058339
1318,Entertainment,6852268802481802111
1319,Telecommunicationsequipment,-8592063776107010306
1320,Restaurantchains,-8690128616648987675
1320,Food,4721068128442604370
1321,Healthcare,1473658128705581606
1321,Insurance,-2611088800210967206
1322,Software,6273975210915946900
1322,Tech,5392941245537608590
1322,ITservices,6845817224175256592
1322,Professionalservices,8712968451453521438
1323,Food,4721068128442604370
1323,Restaurantchains,-8690128616648987675
1324,Software,6273975210915946900
1324,Tech,5392941245537608590
1325,Food,4721068128442604370
1326,Industrialsupplies,-8166891159001610022
1329,Footwear,-6317385944413730398
1329,Retail,2932210656109287952
1330,Airlines,-6287371891685245861
1330,Travel,458727220244788973
1330,Transportation,-2725400413481745490
1331,ScientificTechnicalInstruments,-2149647711263352644
1332,Software,6273975210915946900
1332,Tech,5392941245537608590
1333,Education,-2647921079241484351
1334,Cannabis,2344263859226718052
1335,Professionalservices,8712968451453521438
1335,Construction,6530315917355802760
1336,Financialservices,3247786743286756867
1336,Internet,-848597773130649638
1338,Financialservices,3247786743286756867
1339,Beverages,-5284870312286199973
1339,Alcoholicbeverages,-7749993172415088463
1344,Aluminum,4789257477296730980
1345,Financialservices,3247786743286756867
1345,Tech,5392941245537608590
1345,Internet,-848597773130649638
1346,Insurance,-2611088800210967206
1349,Internet,-848597773130649638
1349,OnlineDating,-1696952794036422975
1349,Tech,5392941245537608590
1350,Retail,2932210656109287952
1350,Clothing,-4012403625881737752
1352,Advertising,-8917243490172367829
1352,Professionalservices,8712968451453521438
1353,Healthcare,1473658128705581606
1354,Defensecontractors,6178421995435006470
1356,Videogames,7351854534314693888
1356,Tech,5392941245537608590
1356,TechHardware,-5791872359498690370
1358,Utilitycompanies,-7880188492962909296
1358,Electricity,-800801453892895456
1358,Energy,-2882595272621617431
1359,Aerospace,-4642465698626703435
1359,Electronics,-4280093456798597290
1360,Banks,-3731527361154377479
1360,Financialservices,3247786743286756867
1361,Education,-2647921079241484351
1361,Internet,-848597773130649638
1361,Tech,5392941245537608590
1362,Semiconductors,590283686970277566
1362,Tech,5392941245537608590
1363,Construction,6530315917355802760
1366,OilGas,7683904390150838630
1366,Energy,-2882595272621617431
1367,OilGas,7683904390150838630
1367,Energy,-2882595272621617431
1368,Realestate,5170806780538916196
1368,REITs,-5778598063774395952
1368,Investment,-3683647381629899485
1370,Pharmaceuticals,5380718181721596073
1370,Biotech,-6437318974046106094
1371,Furniture,1511125769664533416
1372,Banks,-3731527361154377479
1372,Financialservices,3247786743286756867
1374,Realestate,5170806780538916196
1374,Investment,-3683647381629899485
1374,REITs,-5778598063774395952
1378,Software,6273975210915946900
1378,Tech,5392941245537608590
1379,Sportsgoods,-818079648815732376
1380,Retail,2932210656109287952
1382,Realestate,5170806780538916196
1384,Biotech,-6437318974046106094
1384,Genomics,3498623662508482428
1384,DiagnosticsandTesting,8004627630865990902
1387,Cannabis,2344263859226718052
1389,OilGas,7683904390150838630
1389,Energy,-2882595272621617431
1390,Agriculture,-4833034140269920163
1392,Banks,-3731527361154377479
1392,Financialservices,3247786743286756867
1393,Software,6273975210915946900
1393,ITsecurity,2028367090288460929
