CAP1,CAP2,Regione
00010,04100,Lazio
05010,06135,Umbria
07014,09170,Sardegna
10010,18025,Piemonte
28016,28925,Piemonte
11013,11029,Valle d'Aosta
16013,19139,Liguria
20010,28819,Lombardia
30010,32100,Veneto
35010,34170,Veneto
33010,34170,Friuli-Venezia Giulia
38019,39100,Trentino-Alto Adige
40010,48125,Emilia-Romagna
50010,59100,Toscana
60010,63900,Marche
64010,67100,Abruzzo
70010,76125,Puglia
80010,84135,Campania
86014,86170,Molise
87010,89900,Calabria
90010,98168,Sicilia
