ID azienda,Area of Activity,EMTAK Code,NACE Code,Source
782,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Annual report
783,Specialised design activities,74101 (EMTAK 2008),74.1,Electronic submission
784,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission
786,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Annual report
787,Other specialised construction activities,43999 (EMTAK 2008),43.99,Annual report
788,Other research and experimental development on natural sciences and engineering,72191 (EMTAK 2008),72.19,Annual report
790,Travel agency activities,79111 (EMTAK 2008),79.11,Electronic submission
791,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission
793,Youth and children associations and associations that promote the welfare of youth and children,94993 (EMTAK 2008),94.99,Electronic submission
794,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Electronic submission
796,Repair of machinery,33121 (EMTAK 2008),33.12,Annual report
797,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission
798,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
799,Wholesale of other intermediate products,46761 (EMTAK 2008),46.76,Annual report
800,Freight transport by road,4941 (EMTAK 2008),49.41,Annual report
801,Maintenance and repair of motor vehicles,45201 (EMTAK 2008),45.2,Annual report
802,Web portals,63121 (EMTAK 2008),63.12,Annual report
804,Floor and wall covering,43331 (EMTAK 2008),43.33,Annual report
805,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
806,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report
807,"Retail sale of computers, peripheral units and software in specialised stores",47411 (EMTAK 2008),47.41,Electronic submission
808,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report
809,"Other retail sale not in stores, stalls or markets",4799 (EMTAK 2008),47.99,Annual report
810,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Annual report
814,Other cleaning activities of buildings and industrial cleaning,81221 (EMTAK 2008),81.22,Electronic submission
815,"Wholesale of other general-purpose and special-purpose machinery, apparatus and equipment",46699 (EMTAK 2008),46.69,Electronic submission
816,Repair of furniture and home furnishings,95241 (EMTAK 2008),95.24,Statistics Estonia
818,"Ethnic minorities organisations and cultural societies, associations for the purpose of integrityand friendship between nations",94994 (EMTAK 2008),94.99,Annual report
819,Car washing and other services,45202 (EMTAK 2008),45.2,Annual report
821,Hotels,55101 (EMTAK 2008),55.1,Electronic submission
822,"Activities of churches, congregations and monasteries",94911 (EMTAK 2008),94.91,Annual report
823,Manufacture of beer,11051 (EMTAK 2008),11.05,Statistics Estonia
824,"Other credit granting, except pawn shops",64929 (EMTAK 2008),64.92,Annual report
825,Protection and custody of civil rights; special group protection activities,94991 (EMTAK 2008),94.99,Electronic submission
827,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report
829,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report
830,Manufacture of other transport equipment n.e.c.,30991 (EMTAK 2008),30.99,Annual report
