ID,URL,Name,Code,Legal form,Status,Registration Date,Capital,Address,Deletion Date,Tempo richiesta,Tempo estrazione Name,Tempo estrazione Code,Tempo estrazione Legal Form,Tempo estrazione Status,Tempo estrazione Reg. Date,Tempo estrazione Capital,Tempo estrazione Address,Tempo estrazione Del. Date,Tempo estrazione dati Rapp.,Tempo estrazione Partners,Tempo estrazione Activity
1205,https://ariregister.rik.ee/eng/company/10931314/osaühing-Sparren?search_id=6b4eef4&pos=1205,osaühingSparren(10931314),10931314,Private limited company,Deleted,07.07.2003,,,11.05.2017,884374320,447929,1888803,1163997,,1071610,,,396859,425,206,210
1206,https://ariregister.rik.ee/eng/company/12308619/Sparring-OÜ?search_id=6b4eef4&pos=1206,SparringOÜ(12308619),12308619,Private limited company,Enteredintotheregister,02.07.2012,Capitalis2 500 €,                        Harju maakond Tallinn Kristiine linnaosa Energia tn 6a 13415                            ,,729867866,477801,1735060,1475699,739355,577905,525294,1856952,1340760,556,216,171
1207,https://ariregister.rik.ee/eng/company/10371051/Osaühing-SPARROW?search_id=6b4eef4&pos=1207,OsaühingSPARROW(10371051),10371051,Private limited company,Deleted,10.02.1998,,,13.05.2022,840483104,424580,1380578,1038511,,469095,,,1010854,446,285,158
1208,https://ariregister.rik.ee/eng/company/12973096/Sparrow-Solutions-OÜ?search_id=6b4eef4&pos=1208,SparrowSolutionsOÜ(12973096),12973096,Private limited company,Enteredintotheregister,06.01.2016,Capitalis2 500 €,                        Ida-Viru maakond Lüganuse vald Kiviõli linn Heina tn 6 43125                            ,,715931395,454355,454749,382527,292631,1033320,890218,1085721,336424,578,284,320
1209,https://ariregister.rik.ee/eng/company/14150884/sparsetech-OÜ?search_id=6b4eef4&pos=1209,sparse.techOÜ(14150884),14150884,Private limited company,Enteredintotheregister,14.11.2016,Capitalis2 500 €,                        Harju maakond Tallinn Lasnamäe linnaosa Sepapaja tn 6 15551                            ,,717956231,465787,466928,1148355,373948,1297180,1129875,1035854,1272859,496,299,246
1210,https://ariregister.rik.ee/eng/company/14533289/Sparsh-Investments-OÜ?search_id=6b4eef4&pos=1210,SparshInvestmentsOÜ(14533289),14533289,Private limited company,Enteredintotheregister,26.07.2018,Capitalis8 000 €,,,596622646,828859,4010250,1982201,1126433,254677,1193859,281997,1949841,233,217,225
1211,https://ariregister.rik.ee/eng/company/10260736/Osaühing-Spars?search_id=6b4eef4&pos=1211,OsaühingSpars(10260736),10260736,Private limited company,Enteredintotheregister,10.09.1997,Capitalis2 550 €,                        Harju maakond Keila linn Aiandi tn 11 76609                            ,,809401550,547719,1392571,440805,355794,1092528,1418587,1153297,1093940,430,310,244
1212,https://ariregister.rik.ee/eng/company/80292011/Sparta-Akrobaatikaklubi?search_id=6b4eef4&pos=1212,SpartaAkrobaatikaklubi(80292011),80292011,Non-profit association,Enteredintotheregister,02.09.2009,,                        Harju maakond Tallinn Lasnamäe linnaosa Peterburi tee 2 11415                            ,,794394817,526631,1409745,1090103,335433,1064737,344491,268554,1037136,543,266,185
1213,https://ariregister.rik.ee/eng/company/12974256/Sparta-Capital-OÜ?search_id=6b4eef4&pos=1213,SpartaCapitalOÜ(12974256),12974256,Private limited company,Enteredintotheregister,07.01.2016,Capitalis5 000 €,                        Harju maakond Tallinn Kesklinna linnaosa Tartu mnt 83 10115                            ,,883852689,470853,1363027,1395435,369746,1523069,1139184,1091904,1351403,488,270,160
1214,https://ariregister.rik.ee/eng/company/10803875/Sparta-Car-OÜ?search_id=6b4eef4&pos=1214,SpartaCarOÜ(10803875),10803875,Private limited company,Deleted,23.11.2001,,,19.06.2012,750710191,794358,1463256,643085,,404805,,,2226509,543,328,337
1215,https://ariregister.rik.ee/eng/company/11017201/SPARTACUS-OÜ?search_id=6b4eef4&pos=1215,SPARTACUSOÜ(11017201),11017201,Private limited company,Deleted,25.02.2004,,,14.10.2009,694657829,597986,1290496,520554,,367204,,,380178,369,326,317
1216,https://ariregister.rik.ee/eng/company/80314184/Mittetulundusühing-Spartakiaad?search_id=6b4eef4&pos=1216,MittetulundusühingSpartakiaad(80314184),80314184,Non-profit association,,01.09.2010,,                        Harju maakond Tallinn Kristiine linnaosa Nõmme tee 48-16 13425                            ,,897745683,495838,1482643,1077280,328598,340566,333717,241838,1029114,482,268,268
